country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Fantasy,December,7.0,0.0295,0.0642,0.0041,46.0
Canada,2010.0,fr,0.0,5.0,3.0,1.0,Drama,June,22.0,0.0267,0.0655,0.0043,32.0
United States of America,2010.0,en,50000000.0,5.0,2.0,1.0,Family,June,3.0,0.0247,0.0663,0.0044,40.0
United States of America,2010.0,en,5000000.0,5.0,1.0,1.0,Drama,December,16.0,0.0189,0.0682,0.0046,44.0
United States of America,2010.0,en,2000000.0,5.0,2.0,1.0,Documentary,October,8.0,0.027,0.0653,0.0043,4.0
United States of America,2010.0,en,17000000.0,5.0,3.0,1.0,Crime,March,4.0,0.0228,0.0669,0.0045,13.0
Japan,2010.0,ja,0.0,5.0,3.0,1.0,Action,November,11.0,0.0247,0.0663,0.0044,13.0
"France, Japan, Spain, United Kingdom, United States of America",2010.0,en,100000000.0,5.0,5.0,1.0,War,March,11.0,0.0294,0.0643,0.0041,2.0
Canada,2010.0,en,1100000.0,5.0,3.0,1.0,Science Fiction,December,3.0,0.0327,0.0627,0.0039,18.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Drama,February,6.0,0.0207,0.0676,0.0046,46.0
United States of America,2010.0,en,10000000.0,5.0,3.0,1.0,Mystery,September,11.0,0.0306,0.0637,0.0041,28.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Drama,June,25.0,0.0194,0.068,0.0046,43.0
Japan,2010.0,ja,0.0,5.0,3.0,1.0,Horror,November,29.0,0.0253,0.066,0.0044,57.0
"United States of America, Australia",2010.0,en,85000000.0,5.0,6.0,1.0,Family,July,29.0,0.0245,0.0663,0.0044,7.0
United States of America,2010.0,en,19000000.0,5.0,3.0,2.0,Comedy,May,11.0,0.0306,0.0637,0.0041,52.0
Japan,2010.0,ja,0.0,5.0,3.0,1.0,Fantasy,May,1.0,0.0307,0.0637,0.0041,10.0
"India, United States of America",2010.0,en,20000000.0,5.0,5.0,2.0,Animation,September,16.0,0.0227,0.067,0.0045,39.0
United States of America,2010.0,en,40000000.0,5.0,3.0,1.0,Drama,November,10.0,0.0309,0.0636,0.004,54.0
Australia,2010.0,en,0.0,5.0,3.0,1.0,Drama,May,15.0,0.0165,0.0688,0.0047,50.0
United States of America,2010.0,en,0.0,5.0,5.0,2.0,Action,February,23.0,0.0273,0.0652,0.0043,14.0
Australia,2010.0,en,4000000.0,5.0,1.0,1.0,Horror,August,4.0,0.0212,0.0675,0.0046,21.0
"United Kingdom, Germany",2010.0,en,0.0,5.0,3.0,1.0,Drama,June,7.0,0.0267,0.0655,0.0043,13.0
